phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Google Pixel Fold,Google,Android 13,"7.6""",1840x2208 pixels,4821,Li-Po,12GB RAM,"2023, May 10",283 g (9.98 oz),"4K@30/60fps, 1080p@30/60/120/240fps, 10-bit HDR","256GB 12GB RAM, 512GB 12GB RAM","$ 1,750.00 / € 2,599.00 / £ 1,709.00"
Google Pixel 7a,Google,Android 13,"6.1""",1080x2400 pixels,4385,Li-Po,8GB RAM,"2023, May 10",193.5 g (6.84 oz),"4K@30/60fps, 1080p@30/60/120/240fps, OIS",128GB 8GB RAM,$ 394.00 / € 468.99 / £ 405.46
Google Pixel 7 Pro,Google,Android 13,"6.7""",1440x3120 pixels,5000,Li-Ion,8/12GB RAM,"2022, October 06",212 g (7.48 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR","128GB 8GB RAM, 256GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",$ 670.00 / € 756.49 / £ 667.35
Google Pixel 7,Google,Android 13,"6.3""",1080x2400 pixels,4355,Li-Ion,8GB RAM,"2022, October 06",197 g (6.95 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR","128GB 8GB RAM, 256GB 8GB RAM",$ 463.00 / € 537.87 / £ 397.00
Google Pixel 6a,Google,Android 12,"6.1""",1080x2400 pixels,4410,Li-Po,6GB RAM,"2022, May 11",178 g (6.28 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS",128GB 6GB RAM,$ 285.00 / € 323.45 / £ 279.48
Google Pixel 6 Pro,Google,Android 12,"6.7""",1440x3120 pixels,5003,Li-Ion,12GB RAM,"2021, October 19",210 g (7.41 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS","128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",$ 336.00 / € 481.05 / £ 404.00
Google Pixel 6,Google,Android 12,"6.4""",1080x2400 pixels,4614,Li-Ion,8GB RAM,"2021, October 19",207 g (7.30 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS","128GB 8GB RAM, 256GB 8GB RAM",$ 339.96 / € 414.57 / £ 323.50
Google Pixel 5a 5G,Google,Android 11,"6.34""",1080x2400 pixels,4680,Li-Po,6GB RAM,"2021, August 17",183 g (6.46 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS",128GB 6GB RAM,$ 357.61
Google Pixel 5,Google,Android 11,"6.0""",1080x2340 pixels,4080,Li-Po,8GB RAM,"2020, September 30",151 g (5.33 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS",128GB 8GB RAM,$ 238.00 / € 405.83 / £ 339.50
Google Pixel 4a 5G,Google,Android 11,"6.2""",1080x2340 pixels,3885,Li-Po,6GB RAM,"2020, September 30",168 g (5G Sub-6); 171 g ( 5G Sub-6 and mmWave) (5.93 oz),"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS",128GB 6GB RAM,About 380 EUR
Google Pixel 4a,Google,Android 10,"5.81""",1080x2340 pixels,3140,Li-Po,6GB RAM,"2020, August 03",143 g (5.04 oz),"4K@30fps, 1080p@30/60/120fps; gyro-EIS",128GB 6GB RAM,About 330 EUR
Google Pixel 4 XL,Google,Android 10,"6.3""",1440x3040 pixels,3700,Li-Po,6GB RAM,"2019, October 15",193 g (6.81 oz),"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","64GB 6GB RAM, 128GB 6GB RAM",About 250 EUR
Google Pixel 4,Google,Android 10,"5.7""",1080x2280 pixels,2800,Li-Po,6GB RAM,"2019, October 15",162 g (5.71 oz),"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","64GB 6GB RAM, 128GB 6GB RAM",About 300 EUR
Google Pixel 3a XL,Google,Android 9.0,"6.0""",1080x2160 pixels,3700,Li-Po,4GB RAM,"2019, May 07",167 g (5.89 oz),"4K@30fps, 1080p@30/60/120fps",64GB 4GB RAM,About 290 EUR
Google Pixel 3a,Google,Android 9.0,"5.6""",1080x2220 pixels,3000,Li-Po,4GB RAM,"2019, May 07",147 g (5.19 oz),"4K@30fps, 1080p@30/60/120fps",64GB 4GB RAM,About 290 EUR
Google Pixel 3 XL,Google,Android 9.0,"6.3""",1440x2960 pixels,3430,Li-Po,4GB RAM,"2018, October 09",184 g (6.49 oz),"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","64GB 4GB RAM, 128GB 4GB RAM",About 260 EUR
Google Pixel 3,Google,Android 9.0,"5.5""",1080x2160 pixels,2915,Li-Po,4GB RAM,"2018, October 09",148 g (5.22 oz),"4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","64GB 4GB RAM, 128GB 4GB RAM",About 450 EUR
Google Pixel 2,Google,Android 8.0,"5.0""",1080x1920 pixels,2700,Li-Ion,4GB RAM,"2017, October 04",143 g (5.04 oz),"4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","64GB 4GB RAM, 128GB 4GB RAM",About 610 EUR
Google Pixel 2 XL,Google,Android 8.0,"6.0""",1440x2880 pixels,3520,Li-Ion,4GB RAM,"2017, October 04",175 g (6.17 oz),"4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","64GB 4GB RAM, 128GB 4GB RAM",About 520 EUR
