phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Honor X6a,Honor,Android 13,"6.56""",720x1612 pixels,5200,Li-Po,4GB RAM,"2023, July 28",188 g (6.63 oz),1080p@30fps,128GB 4GB RAM,About 150 EUR
Honor Magic V2,Honor,Android 13,"7.92""",2156x2344 pixels,5000,Li-Po,16GB RAM,"2023, July 12",231 g or 237 g (8.15 oz),"4K@30/60fps (10-bit), 1080p@30/60fps, gyro-EIS, HDR10+, OIS","256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",About 1130 EUR
Honor X50,Honor,Android 13,"6.78""",1220x2652 pixels,5800,Li-Po,8-16GB RAM,"2023, July 05",185 g (6.53 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",About 180 EUR
Honor Play 40,Honor,Android 13,"6.56""",720x1612 pixels,5200,Li-Po,6/8GB RAM,"2023, July 05",188 g (6.63 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 180 EUR
Honor X50i,Honor,Android 13,"6.7""",1080x2388 pixels,4500,Li-Po,8/12GB RAM,"2023, July 05",179 g (6.31 oz),1080p@30fps,"256GB 8GB RAM, 256GB 12GB RAM",About 180 EUR
Honor 90 Lite,Honor,Android 13,"6.7""",1080x2388 pixels,4500,Li-Po,8GB RAM,"2023, June 20",179 g (6.31 oz),1080p@30fps,256GB 8GB RAM,$ 199.00 / € 230.55 / £ 199.00
Honor 90 Pro,Honor,Android 13,"6.78""",1224x2700 pixels,5000,Li-Po,12/16GB RAM,"2023, May 29",192 g (6.77 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",About 440 EUR
Honor 90,Honor,Android 13,"6.7""",1200x2664 pixels,5000,Li-Po,8-16GB RAM,"2023, May 29",183 g (6.46 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM",$ 392.79 / € 449.00 / £ 399.00
Honor Play7T Pro,Honor,Android 12,"6.7""",1080x2388 pixels,4000,Li-Po,8GB RAM,"2023, March 28",175 g (6.17 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 200 EUR
Honor Play7T,Honor,Android 12,"6.74""",720x1600 pixels,6000,Li-Po,8GB RAM,"2023, March 28",196 g (6.91 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 150 EUR
Honor 70 Lite,Honor,Android 12,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2023, March 20",194 g (6.84 oz),1080p@30fps,128GB 4GB RAM,$ 210.79 / € 171.20 / £ 149.00
Honor Magic5 Ultimate,Honor,Android 13,"6.81""",1312x2848 pixels,5450,,16GB RAM,"2023, March 06",217 g (7.65 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10, 10-bit video",512GB 16GB RAM,About 900 EUR
Honor Magic5 Pro,Honor,Android 13,"6.81""",1312x2848 pixels,5100,Li-Po,8-16GB RAM,"2023, February 27",219 g (7.72 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10, 10-bit video","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","$ 1,027.00 / € 899.00 / £ 789.44"
Honor Magic5,Honor,Android 13,"6.73""",1224x2688 pixels,5100,Li-Po,12GB RAM,"2023, February 27",191 g (6.74 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10, 10-bit video","256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",About 900 EUR
Honor Magic5 Lite,Honor,Android 12,"6.67""",1080x2400 pixels,5100,Li-Po,6/8GB RAM,"2023, February 15",175 g (6.17 oz),1080p@30fps,"128GB 6GB RAM, 256GB 8GB RAM",$ 309.00 / € 259.60 / £ 249.00
Honor X8a,Honor,Android 12,"6.7""",1080x2388 pixels,4500,Li-Po,6/8GB RAM,"2023, February 08",179 g (6.31 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",$ 189.00 / € 177.73 / £ 179.00
Honor X5,Honor,Android 12,"6.5""",720x1600 pixels,5000,Li-Po,2GB RAM,"2023, January 24",193 g (6.81 oz),1080p@30fps,32GB 2GB RAM,About 90 EUR
Honor X9a,Honor,Android 12,"6.67""",1080x2400 pixels,5100,Li-Po,6/8GB RAM,"2023, January 04",175 g (6.17 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 260 EUR
Honor X7a,Honor,Android 12,"6.75""",720x1600 pixels,6000,Li-Po,4/6GB RAM,"2023, January 04",196 g (6.91 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM",$ 309.00 / € 164.34 / £ 129.00
Honor 80 Pro Flat,Honor,Android 12,"6.67""",1080x2400 pixels,4800,Li-Po,12GB RAM,"2023, January 06",186 g or 193 g (6.56 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS",256GB 12GB RAM,About 450 EUR
Honor 80 GT,Honor,Android 12,"6.67""",1080x2400 pixels,4800,Li-Po,12/16GB RAM,"2022, December 26",187 g or 195 g (6.60 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","256GB 12GB RAM, 256GB 16GB RAM",About 450 EUR
Honor 80 Pro,Honor,Android 12,"6.78""",1224x2700 pixels,4800,Li-Po,8/12GB RAM,"2022, November 23",188 g (6.63 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",$ 419.99
