phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Huawei nova Y91,Huawei,EMUI 13,"6.95""",1080x2376 pixels,7000,Li-Po,6/8GB RAM,"2023, May 23",214 g (7.55 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",About 280 EUR
Huawei nova 11i,Huawei,EMUI 13,"6.8""",1080x2388 pixels,5000,Li-Po,8GB RAM,"2023, May 01",193 g (6.81 oz),1080p@30fps,128GB 8GB RAM,€ 279.00 / $ 509.00
Huawei nova Y71,Huawei,EMUI 12,"6.75""",720x1600 pixels,6000,Li-Po,8GB RAM,"2023, May 09",199 g (7.02 oz),1080p@30fps,128GB 8GB RAM,About 190 EUR
Huawei nova Y61,Huawei,EMUI 12,"6.52""",720x1600 pixels,5000,Li-Po,4/6GB RAM,"2022, November 01",188 g (6.63 oz),1080p@30fps,"64GB 4GB RAM, 64GB 6GB RAM",€ 189.30 / $ 375.00
Huawei nova 10 SE,Huawei,EMUI 12,"6.67""",1080x2400 pixels,4500,Li-Po,6/8GB RAM,"2022, October 05",184 g (6.49 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",€ 311.87 / $ 369.99
Huawei nova Y90,Huawei,EMUI 12,"6.7""",1080x2388 pixels,5000,Li-Po,4-8GB RAM,"2022, June 23",195 g (6.88 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",€ 219.00 / $ 569.00
Huawei Mate Xs 2,Huawei,EMUI 12,"7.8""",2200x2480 pixels,4880,Li-Po,8/12GB RAM,"2022, April 28",255 g / 257 g (8.99 oz),"4K@30/60fps, 1080p@30/240fps","256GB 8GB RAM, 512GB 8GB RAM, 512GB 12GB RAM","€ 1,995.99 / $ 2,559.00"
Huawei nova 9 SE 5G,Huawei,Android 11,"6.78""",1080x2388 pixels,4000,Li-Po,8GB RAM,"2022, April 20",191 g (6.74 oz),"1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 370 EUR
Huawei nova Y70 Plus,Huawei,EMUI 12,"6.75""",720x1600 pixels,6000,Li-Po,4GB RAM,"2022, April 20",199 g (7.02 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",€ 235.00 / $ 389.00
Huawei nova 9 SE,Huawei,Android 11,"6.78""",1080x2388 pixels,4000,Li-Po,6/8GB RAM,"2022, March 08",191 g (6.74 oz),"1080p@30fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",€ 222.61 / $ 279.99 / £ 239.99
Huawei nova Y60,Huawei,Android 10,"6.6""",720x1600 pixels,5000,Li-Po,4GB RAM,"2021, September 07",185 g (6.53 oz),1080p@30fps,64GB 4GB RAM,About 150 EUR
Huawei nova 8,Huawei,Android 11,"6.57""",1080x2340 pixels,3800,Li-Po,8GB RAM,"2021, August 05",169 g (5.96 oz),"4K, 1080p, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 420 EUR
Huawei nova 8 SE Youth,Huawei,Android 10,"6.6""",1080x2400 pixels,4000,Li-Po,8GB RAM,"2021, July 28",179 g (6.31 oz),1080p@30fps,128GB 8GB RAM,About 250 EUR
Huawei nova 8i,Huawei,Android 10,"6.67""",1080x2376 pixels,4300,Li-Po,6/8GB RAM,"2021, July 07",190 g (6.70 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",€ 246.68 / $ 525.00 / £ 229.00
Huawei nova 8 Pro 4G,Huawei,Android 10,"6.72""",1236x2676 pixels,4000,Li-Po,8GB RAM,"2021, April 26",184 g (6.49 oz),"4K, 1080p, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 600 EUR
Huawei Mate 40E,Huawei,Android 10,"6.5""",1080x2376 pixels,4200,Li-Po,8GB RAM,"2021, March 10",188 g (6.63 oz),"4K, 1080p, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 500 EUR
Huawei P40 4G,Huawei,Android 10,"6.1""",1080x2340 pixels,3800,Li-Po,4/8GB RAM,"2021, February 26",175 g (6.17 oz),"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS","128GB 4GB RAM, 128GB 8GB RAM",About 2300 EUR
Huawei Mate X2,Huawei,Android 10,"8.0""",2200x2480 pixels,4500,Li-Po,8/12GB RAM,"2021, February 22",295 g (10.41 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 512GB 8GB RAM, 512GB 12GB RAM",About 600 EUR
Huawei nova 8 Pro 5G,Huawei,Android 10,"6.72""",1236x2676 pixels,4000,Li-Po,8GB RAM,"2020, December 23",184 g (6.49 oz),"4K, 1080p, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 410 EUR
Huawei nova 8 5G,Huawei,Android 10,"6.57""",1080x2340 pixels,3800,Li-Po,8GB RAM,"2020, December 23",169 g (5.96 oz),"4K, 1080p, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 160 EUR
Huawei Enjoy 20 SE,Huawei,Android 10,"6.67""",1080x2400 pixels,5000,Li-Po,4/8GB RAM,"2020, December 23",206 g (7.27 oz),1080p@30/60fps,"128GB 4GB RAM, 128GB 8GB RAM",About 330 EUR
Huawei nova 8 SE,Huawei,Android 10,"6.53""",1080x2400 pixels,3800,Li-Po,8GB RAM,"2020, November 06",178 g (6.28 oz),"4K@30fps, 1080p@30fps",128GB 8GB RAM,About 1400 EUR
Huawei Mate 40 RS Porsche Design,Huawei,Android 10,"6.76""",1344x2772 pixels,4400,Li-Po,8/12GB RAM,"2020, October 22",234 g (8.25 oz),"4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 1400 EUR
Huawei Mate 40 Pro+,Huawei,Android 10,"6.76""",1344x2772 pixels,4400,Li-Po,8/12GB RAM,"2020, October 22",230 g (8.11 oz),"4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM",About 790 EUR
Huawei Mate 40 Pro,Huawei,Android 10,"6.76""",1344x2772 pixels,4400,Li-Po,8GB RAM,"2020, October 22",212 g (7.48 oz),"4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",About 630 EUR
Huawei Mate 40,Huawei,Android 10,"6.5""",1080x2376 pixels,4200,Li-Po,8GB RAM,"2020, October 22",188 g (Glass) / 184 g (Leather) (6.49 oz),"4K@30/60fps, 1080p@30/60/120/240fps, 1080p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 680 EUR
Huawei Mate 30E Pro 5G,Huawei,Android 10,"6.53""",1176x2400 pixels,4500,Li-Po,8GB RAM,"2020, October 22",198 g (6.98 oz),"4K@30/60fps, 1080p@30/60/120fps, 1080p@960fps, 720p@7680fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 290 EUR
Huawei nova 7 SE 5G Youth,Huawei,Android 10,"6.5""",1080x2400 pixels,4000,Li-Po,8GB RAM,"2020, October 16",189 g (6.67 oz),"4K@30fps, 1080p@30fps",128GB 8GB RAM,About 160 EUR
Huawei Y7a,Huawei,Android 10,"6.67""",1080x2400 pixels,5000,Li-Po,4GB RAM,"2020, October 21",206 g (7.27 oz),1080p@30/60fps,"64GB 4GB RAM, 128GB 4GB RAM",About 230 EUR
Huawei P smart 2021,Huawei,Android 10,"6.67""",1080x2400 pixels,5000,Li-Po,4GB RAM,"2020, September 28",206 g (7.27 oz),1080p@30/60fps,"64GB 4GB RAM, 128GB 4GB RAM",About 200 EUR
Huawei Y9a,Huawei,Android 10,"6.63""",1080x2400 pixels,4300,Li-Po,6/8GB RAM,"2020, September 07",197 g (6.95 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 280 EUR
Huawei Enjoy 20 Plus 5G,Huawei,Android 10,"6.63""",1080x2400 pixels,4200,Li-Po,6/8GB RAM,"2020, September 03",197 g (6.95 oz),"4K@30fps, 1080p@30fps","128GB 6GB RAM, 128GB 8GB RAM",About 210 EUR
Huawei Enjoy 20 5G,Huawei,Android 10,"6.6""",720x1600 pixels,5000,Li-Po,4/6GB RAM,"2020, September 03",188 g (6.63 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 250 EUR
Huawei Enjoy 20 Pro,Huawei,Android 10,"6.5""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, June 19",192 g (6.77 oz),"4K@30fps, 1080p@30fps","128GB 6GB RAM, 128GB 8GB RAM",About 220 EUR
Huawei Enjoy Z 5G,Huawei,Android 10,"6.5""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, May 24",182 g (6.42 oz),"4K@30fps, 1080p@30fps","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 260 EUR
Huawei P Smart S,Huawei,Android 10,"6.3""",1080x2400 pixels,4000,Li-Po,4GB RAM,"2020, June 09",163 g (5.75 oz),1080p@30fps,128GB 4GB RAM,About 240 EUR
Huawei Y8p,Huawei,Android 10,"6.3""",1080x2400 pixels,4000,Li-Po,4/6GB RAM,"2020, May 18",163 g (5.75 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM",€ 247.83 / $ 379.99 / £ 270.00
Huawei P40 lite 5G,Huawei,Android 10,"6.5""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, May 15",189 g (6.67 oz),"4K@30fps, 1080p@30fps","128GB 6GB RAM, 128GB 8GB RAM",About 820 EUR
Huawei P30 Pro New Edition,Huawei,Android 10,"6.47""",1080x2340 pixels,4200,Li-Po,6/8GB RAM,"2020, May 12",192 g (6.77 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","128GB 6GB RAM, 256GB 8GB RAM",About 140 EUR
Huawei Y8s,Huawei,Android 9.0,"6.5""",1080x2340 pixels,4000,Li-Po,4GB RAM,"2020, May 6",180 g (6.35 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 160 EUR
Huawei Y6p,Huawei,Android 10,"6.3""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2020, May 05",185 g (6.53 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 110 EUR
Huawei Y5p,Huawei,Android 10,"5.45""",720x1440 pixels,3020,Li-Po,2GB RAM,"2020, May 05",144 g (5.08 oz),1080p@30fps,32GB 2GB RAM,About 200 EUR
Huawei P smart 2020,Huawei,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Ion,4GB RAM,"2020, April 29",160 g (5.64 oz),1080p@30/60fps,128GB 4GB RAM,About 480 EUR
Huawei nova 7 Pro 5G,Huawei,Android 10,"6.57""",1080x2340 pixels,4000,Li-Po,8GB RAM,"2020, April 23",178 g (6.28 oz),"4K, 1080p, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 390 EUR
Huawei nova 7 5G,Huawei,Android 10,"6.53""",1080x2400 pixels,4000,Li-Po,8GB RAM,"2020, April 23",180 g (6.35 oz),"4K, 1080p, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 120 EUR
Huawei Enjoy 10e,Huawei,Android 10,"6.3""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, March 01",185 g (6.53 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 1000 EUR
Huawei P40 Pro+,Huawei,Android 10,"6.58""",1200x2640 pixels,4200,Li-Po,8GB RAM,"2020, March 26",226 g (7.97 oz),"4K@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS","256GB 8GB RAM, 512GB 8GB RAM",€ 569.90 / $ 595.00 / £ 499.99
Huawei P40 Pro,Huawei,Android 10,"6.58""",1200x2640 pixels,4200,Li-Po,8GB RAM,"2020, March 26",209 g (7.37 oz),"4K@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",About 520 EUR
Huawei P40,Huawei,Android 10,"6.1""",1080x2340 pixels,3800,Li-Po,6/8GB RAM,"2020, March 26",175 g (6.17 oz),"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 150 EUR
Huawei P40 lite E,Huawei,Android 9.0,"6.39""",720x1560 pixels,4000,Li-Po,4GB RAM,"2020, March 04",176 g (6.21 oz),1080p@30fps,64GB 4GB RAM,€ 249.99 / $ 193.80 / £ 170.00
Huawei P40 lite,Huawei,Android 10,"6.4""",1080x2310 pixels,4200,Li-Po,6/8GB RAM,"2020, February 27",183 g (6.46 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",About 1950 EUR
Huawei Mate Xs,Huawei,Android 10,"8.0""",2200x2480 pixels,4500,Li-Po,8GB RAM,"2020, February 24",300 g (10.58 oz),"4K@30fps, 1080p@30fps",512GB 8GB RAM,About 360 EUR
Huawei P30 lite New Edition,Huawei,Android 9.0,"6.15""",1080x2312 pixels,3340,Li-Po,6GB RAM,"2020, January 14",152.9 g (5.40 oz),1080p@30fps (gyro-EIS),"128GB 6GB RAM, 256GB 6GB RAM",About 140 EUR
Huawei Y7p,Huawei,Android 9.0,"6.39""",720x1560 pixels,4000,Li-Po,4GB RAM,"2020, February 07",176 g (6.21 oz),1080p@30fps,64GB 4GB RAM,About 240 EUR
Huawei nova 7i,Huawei,Android 10,"6.4""",1080x2310 pixels,4200,Li-Po,8GB RAM,"2020, January 30",183 g (6.46 oz),1080p@30fps,128GB 8GB RAM,About 160 EUR
Huawei Y6s (2019),Huawei,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Po,3GB RAM,"2020, January 30",150 g (5.29 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM",About 290 EUR
Huawei P smart Pro 2019,Huawei,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,6GB RAM,"2019, December",206 g (7.27 oz),1080p@30fps,128GB 6GB RAM,About 280 EUR
