phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Lenovo Legion Y700 (2023),Lenovo,Android 13,"8.8""",1600x2560 pixels,6550,Li-Po,12/16GB RAM,"2023, July 22",350 g (12.35 oz),1080p@30fps,"256GB 12GB RAM, 512GB 16GB RAM",About 300 EUR
Lenovo Legion Y70,Lenovo,Android 12,"6.67""",1080x2400 pixels,5100,Li-Po,8-16GB RAM,"2022, August 18",209 g (7.37 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",About 440 EUR
Lenovo Legion Y700,Lenovo,Android 12,"8.8""",1600x2560 pixels,6550,Li-Po,8/12GB RAM,"2022, March 01",375 g (13.23 oz),1080p@30fps,"128GB 8GB RAM, 256GB 12GB RAM",About 360 EUR
Lenovo Legion Y90,Lenovo,Android 12,"6.92""",1080x2460 pixels,5600,Li-Po,12-18GB RAM,"2022, March 01",252 g (8.89 oz),"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR10+ rec.","256GB 12GB RAM, 256GB 16GB RAM, 640GB 18GB RAM",About 570 EUR
Lenovo K14 Plus,Lenovo,Android 11,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2022, February 15",198 g (6.98 oz),1080p@30fps,64GB 4GB RAM,About 200 EUR
Lenovo K13 Pro,Lenovo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4/6GB RAM,"2021, September",200 g (7.05 oz),1080p@30/60fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 150 EUR
Lenovo K13,Lenovo,Android 10,"6.52""",720x1600 pixels,5000,Li-Ion,2GB RAM,"2021, August 30",200 g (7.05 oz),1080p@30fps,32GB 2GB RAM,About 90 EUR
Lenovo K13 Note,Lenovo,Android 11,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2021, June 22",200 g (7.05 oz),1080p@30fps,128GB 4GB RAM,About 120 EUR
Lenovo Legion 2 Pro,Lenovo,Android 11,"6.92""",1080x2460 pixels,5500,Li-Po,12-18GB RAM,"2021, April 08",259 g (9.14 oz),"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR10+ rec.","128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM, 512GB 18GB RAM",About 880 EUR
Lenovo Legion Duel 2,Lenovo,Android 11,"6.92""",1080x2460 pixels,5500,Li-Po,12/16GB RAM,"2021, April 08",259 g (9.14 oz),"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS, HDR10+ rec.","256GB 12GB RAM, 512GB 16GB RAM",About 800 EUR
Lenovo K12 Pro,Lenovo,Android 10,"6.8""",720x1640 pixels,6000,Li-Po,4GB RAM,"2020, December 09",221 g (7.80 oz),1080p@30/60fps,"64GB 4GB RAM, 128GB 4GB RAM",About 130 EUR
Lenovo K12 (China),Lenovo,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, December 09",200 g (7.05 oz),1080p@30/60fps,64GB 4GB RAM,About 100 EUR
Lenovo A8 2020,Lenovo,Android 10,"6.53""",720x1560 pixels,5000,Li-Po,4GB RAM,"2020, October 15",205 g (7.23 oz),1080p@30fps,64GB 4GB RAM,About 90 EUR
Lenovo Legion Duel,Lenovo,Android 10,"6.65""",1080x2340 pixels,5000,Li-Po,12/16GB RAM,"2020, July 22",239 g (8.43 oz),4K@30fps gyro-EIS,"256GB 12GB RAM, 512GB 16GB RAM",About 510 EUR
Lenovo Legion Pro,Lenovo,Android 10,"6.65""",1080x2340 pixels,5000,Li-Po,8-16GB RAM,"2020, July 22",239 g (8.43 oz),4K@30fps gyro-EIS,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",About 100 EUR
Lenovo A7,Lenovo,Android 9.0,"6.09""",720x1560 pixels,4000,Li-Po,4GB RAM,"2019, April 13",-,1080p@30fps,64GB 4GB RAM,About 200 EUR
Lenovo M10 Plus,Lenovo,Android 9.0,"10.3""",1200x1920 pixels,5000,Li-Po,2/4GB RAM,"2020, March 27",460 g (1.01 lb),1080p@30fps,"32GB 2GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 180 EUR
Lenovo K10 Plus,Lenovo,Android 9.0,"6.22""",720x1520 pixels,4050,Li-Po,4GB RAM,"2019, September 23",172 g (6.07 oz),1080p@30fps,64GB 4GB RAM,About 100 EUR
Lenovo K10 Note,Lenovo,Android 9.0,"6.3""",1080x2340 pixels,4050,Li-Po,4/6GB RAM,"2019, September 05",164 g (5.78 oz),"4K@30fps, 1080p@30fps","64GB 4GB RAM, 128GB 6GB RAM",About 250 EUR
Lenovo A6 Note,Lenovo,Android 9.0,"6.09""",720x1560 pixels,4000,Li-Po,2/3GB RAM,"2019, September",172 g (6.07 oz),1080p@30fps,"16GB 2GB RAM, 32GB 3GB RAM",About 400 EUR
Lenovo Z6,Lenovo,Android 9.0,"6.39""",1080x2340 pixels,4000,Li-Po,6/8GB RAM,"2019, July 04",159 g (5.61 oz),"4K@30fps, 1080p@30fps","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 160 EUR
Lenovo Z6 Pro 5G,Lenovo,Android 9.0,"6.39""",1080x2340 pixels,4000,Li-Po,6-12GB RAM,"2019, June 26",185 g (6.53 oz),"4K@30fps, 1080p@120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM",About 430 EUR
Lenovo Z6 Youth,Lenovo,Android 9.0,"6.3""",1080x2340 pixels,4050,Li-Po,4/6GB RAM,"2019, May",164 g (5.78 oz),1080p@30fps,"64GB 4GB RAM, 128GB 6GB RAM",About 190 EUR
Lenovo Z6 Pro,Lenovo,Android 9.0,"6.39""",1080x2340 pixels,4000,Li-Po,6-12GB RAM,"2019, April 23",185 g (6.53 oz),"4K@30fps, 1080p@30/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM",About 200 EUR
