phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
OnePlus Ace 2 Pro,OnePlus,Android 13,"6.74""",1240x2772 pixels,5000,Li-Po,12-24GB RAM,"2023, August 16",210 g (7.41 oz),"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS","256GB 12GB RAM, 512GB 16GB RAM, 1TB 24GB RAM",About 380 EUR
OnePlus Nord CE3,OnePlus,Android 13,"6.7""",1080x2412 pixels,5000,Li-Po,8/12GB RAM,"2023, July 05",184 g (6.49 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM","₹ 26,999"
OnePlus Nord 3,OnePlus,Android 13,"6.74""",1240x2772 pixels,5000,Li-Po,8/16GB RAM,"2023, July 05",193.5 g (6.84 oz),"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","128GB 8GB RAM, 256GB 16GB RAM","$ 429.00 / € 476.78 / £ 555.19 / ₹ 33,999"
OnePlus Nord N30,OnePlus,Android 13,"6.72""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2023, June 06",195 g (6.88 oz),1080p@30fps,128GB 8GB RAM,$ 299.99
OnePlus Nord CE 3 Lite,OnePlus,Android 13,"6.72""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2023, April 04",195 g (6.88 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM","$ 229.00 / € 263.89 / £ 272.09 / ₹ 19,999"
OnePlus Ace 2V,OnePlus,Android 13,"6.74""",1240x2772 pixels,5000,Li-Po,12/16GB RAM,"2023, March 07",191.5 g (6.77 oz),"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",About 310 EUR
OnePlus 11R,OnePlus,Android 13,"6.74""",1240x2772 pixels,5000,Li-Po,8/16GB RAM,"2023, February 07",204 g (7.20 oz),"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","128GB 8GB RAM, 256GB 16GB RAM","₹ 39,999"
OnePlus Ace 2,OnePlus,Android 13,"6.74""",1240x2772 pixels,5000,Li-Po,12/16GB RAM,"2023, February 07",204 g (7.20 oz),"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",About 390 EUR
OnePlus 11,OnePlus,Android 13,"6.7""",1440x3216 pixels,5000,Li-Po,8-16GB RAM,"2023, January 04",205 g (7.23 oz),"8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM","$ 619.00 / € 798.79 / £ 704.99 / ₹ 56,999"
OnePlus Nord N300,OnePlus,Android 12,"6.56""",720x1612 pixels,5000,Li-Po,4GB RAM,"2022, October 24",190 g (6.70 oz),1080p@30fps,64GB 4GB RAM,About 230 EUR
OnePlus Ace Pro,OnePlus,Android 12,"6.7""",1080x2412 pixels,4800,Li-Po,12/16GB RAM,"2022, August 09",203.5 g (7.20 oz),"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM",About 500 EUR
OnePlus Nord N20 SE,OnePlus,Android 12,"6.56""",720x1612 pixels,5000,Li-Po,4GB RAM,"2022, August 05",187 g (6.60 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM","$ 119.00 / € 208.84 / £ 173.88 / ₹ 14,500"
OnePlus 10T,OnePlus,Android 12,"6.7""",1080x2412 pixels,4800,Li-Po,8-16GB RAM,"2022, August 03",204 g (7.20 oz),"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM","$ 329.99 / € 499.00 / £ 419.00 / ₹ 39,999"
OnePlus Nord 2T,OnePlus,Android 12,"6.43""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2022, May 19",190 g (6.70 oz),"4K@30fps, 1080p@30/60/120/480fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM",$ 309.00 / € 342.58 / £ 369.00
OnePlus Ace Racing,OnePlus,Android 12,"6.59""",1080x2412 pixels,5000,Li-Po,8/12GB RAM,"2022, May 17",205 g (7.23 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 280 EUR
OnePlus Nord N20 5G,OnePlus,Android 11,"6.43""",1080x2400 pixels,4500,Li-Po,6GB RAM,"2022, April 28",173 g (6.10 oz),1080p@30fps,128GB 6GB RAM,$ 164.99
OnePlus 10R 150W,OnePlus,Android 12,"6.7""",1080x2412 pixels,4500,Li-Po,12GB RAM,"2022, April 28",186 g (6.56 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS",256GB 12GB RAM,About 340 EUR
OnePlus 10R,OnePlus,Android 12,"6.7""",1080x2412 pixels,5000,Li-Po,8/12GB RAM,"2022, April 28",186 g (6.56 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","₹ 32,999"
OnePlus Nord CE 2 Lite 5G,OnePlus,Android 12,"6.59""",1080x2412 pixels,5000,Li-Po,6/8GB RAM,"2022, April 28",195 g (6.88 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM","$ 229.00 / € 215.00 / £ 219.00 / ₹ 17,999"
OnePlus Ace,OnePlus,Android 12,"6.7""",1080x2412 pixels,4500,Li-Po,8/12GB RAM,"2022, April 21",186 g (6.56 oz),"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 360 EUR
OnePlus 10 Pro,OnePlus,Android 12,"6.7""",1440x3216 pixels,5000,Li-Po,8/12GB RAM,"2022, January 11",201 g (7.09 oz),"8K@24fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","$ 439.94 / € 649.90 / £ 527.16 / ₹ 49,999"
OnePlus Nord CE 2 5G,OnePlus,Android 11,"6.43""",1080x2400 pixels,4500,Li-Po,6/8GB RAM,"2022, February 17",173 g (6.10 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM","$ 319.00 / € 293.03 / ₹ 24,999"
OnePlus 9RT 5G,OnePlus,Android 11,"6.62""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2021, October 13",198.5 g (7.02 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",$ 789.00
OnePlus Nord 2 5G,OnePlus,Android 11,"6.43""",1080x2400 pixels,4500,Li-Po,6-12GB RAM,"2021, July 22",189 g (6.67 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",$ 299.00 / € 359.00 / £ 259.99
OnePlus Nord N200 5G,OnePlus,Android 11,"6.49""",1080x2400 pixels,5000,Li-Po,4GB RAM,"2021, June 21",189 g (6.67 oz),"1080p@30fps, gyro-EIS",64GB 4GB RAM,$ 149.99
OnePlus Nord CE 5G,OnePlus,Android 11,"6.43""",1080x2400 pixels,4500,Li-Po,6-12GB RAM,"2021, June 10",170 g (6.00 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM","$ 455.00 / € 278.34 / £ 369.00 / ₹ 26,999"
OnePlus 9 Pro,OnePlus,Android 11,"6.7""",1440x3216 pixels,4500,Li-Po,8/12GB RAM,"2021, March 23",197 g (6.95 oz),"8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",$ 372.40 / € 610.19 / £ 449.99
OnePlus 9,OnePlus,Android 11,"6.55""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2021, March 23",192 g (EU/NA)183 g (IN/CN) (6.46 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM",$ 304.20 / € 810.13 / £ 357.88
OnePlus 9R,OnePlus,Android 10,"6.55""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2021, March 23",189 g (6.67 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",$ 308.00
OnePlus Nord N10 5G,OnePlus,Android 10,"6.49""",1080x2400 pixels,4300,Li-Po,6GB RAM,"2020, October 26",190 g (6.70 oz),"4K@30fps, 1080p@30/60/120fps; gyro-EIS",128GB 6GB RAM,$ 226.72
OnePlus Nord N100,OnePlus,Android 10,"6.52""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, October 26",188 g (6.63 oz),"1080p@30fps, gyro-EIS",64GB 4GB RAM,$ 123.22 / £ 290.00
OnePlus 8T,OnePlus,Android 11,"6.55""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2020, October 14",188 g (6.63 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM",$ 269.00 / € 692.61 / £ 349.99
OnePlus 8T+ 5G,OnePlus,Android 11,"6.55""",1080x2400 pixels,4500,Li-Po,12GB RAM,"2020, October 14",-,"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",256GB 12GB RAM,About 640 EUR
OnePlus Nord,OnePlus,Android 10,"6.44""",1080x2400 pixels,4115,Li-Po,6-12GB RAM,"2020, July 21",184 g (6.49 oz),"4K@30fps, 1080p@30/60/240fps, gyro-EIS","64GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM",$ 319.00 / € 456.08 / £ 389.99
OnePlus 8 Pro,OnePlus,Android 10,"6.78""",1440x3168 pixels,4510,Li-Po,8/12GB RAM,"2020, April 14",199 g (7.02 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM","$ 369.60 / € 1,016.16 / £ 585.00"
OnePlus 8,OnePlus,Android 10,"6.55""",1080x2400 pixels,4300,Li-Po,6-12GB RAM,"2020, April 14",180 g (6.35 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM",$ 876.00
OnePlus 8 5G UW (Verizon),OnePlus,Android 10,"6.55""",1080x2400 pixels,4300,Li-Po,8GB RAM,"2020, April 14",180 g (6.35 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",128GB 8GB RAM,About 740 EUR
OnePlus 8 5G (T-Mobile),OnePlus,Android 10,"6.55""",1080x2400 pixels,4300,Li-Po,8GB RAM,"2020, April 14",180 g (6.35 oz),"4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS",128GB 8GB RAM,About 650 EUR
OnePlus 7T Pro 5G McLaren,OnePlus,Android 10,"6.67""",1440x3120 pixels,4085,Li-Po,12GB RAM,"2019, October 23",206 g (7.27 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS",256GB 12GB RAM,About 800 EUR
OnePlus 7T Pro,OnePlus,Android 10,"6.67""",1440x3120 pixels,4085,Li-Po,8/12GB RAM,"2019, October 10",206 g (7.27 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM",About 1030 EUR
OnePlus 7T,OnePlus,Android 10,"6.55""",1080x2400 pixels,3800,Li-Po,8GB RAM,"2019, September 26",190 g (6.70 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, Auto HDR, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",$ 258.50 / € 689.95
OnePlus 7 Pro 5G,OnePlus,Android 9.0,"6.67""",1440x3120 pixels,4000,Li-Po,6-12GB RAM,"2019, May 14",206 g (7.27 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 800 EUR
OnePlus 7 Pro,OnePlus,Android 9.0,"6.67""",1440x3120 pixels,4000,Li-Po,6-12GB RAM,"2019, May 14",206 g (7.27 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS, no video rec. with ultrawide camera","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 590 EUR
OnePlus 7,OnePlus,Android 9.0,"6.41""",1080x2340 pixels,3700,Li-Po,6-12GB RAM,"2019, May 14",182 g (6.42 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","128GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 400 EUR
OnePlus 6T McLaren,OnePlus,Android 9.0,"6.41""",1080x2340 pixels,3700,Li-Po,10GB RAM,"2018, December 11",185 g (6.53 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS",256GB 10GB RAM,About 700 EUR
OnePlus 6T,OnePlus,Android 9.0,"6.41""",1080x2340 pixels,3700,Li-Po,6/8GB RAM,"2018, October 29",185 g (6.53 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 430 EUR
OnePlus 6,OnePlus,Android 8.1,"6.28""",1080x2280 pixels,3300,Li-Po,6/8GB RAM,"2018, May 16",177 g (6.24 oz),"4K@30/60fps, 1080p@30/60/240fps, 720p@480fps, Auto HDR","64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 410 EUR
