phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Realme GT5 240W,Realme,Android 13,"6.74""",1240x2772 pixels,4600,Li-Po,24GB RAM,"2023, August 28",205 g (7.23 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS",1TB 24GB RAM,About 470 EUR
Realme GT5,Realme,Android 13,"6.74""",1240x2772 pixels,5240,Li-Po,12/16GB RAM,"2023, August 28",205 g (7.23 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 12GB RAM, 512GB 16GB RAM",About 380 EUR
Realme 11x,Realme,Android 13,"6.72""",1080x2400 pixels,5000,Li-Po,6/8GB RAM,"2023, August 23",190 g (6.70 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM","₹ 15,240"
Realme 11 4G,Realme,Android 12,"6.4""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2023, July 31",178 g (6.28 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 280 EUR
Realme 11 5G,Realme,Android 13,"6.72""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2023, July 31",190 g (6.70 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM","$ 296.00 / ₹ 18,980"
Realme C51,Realme,Android 13,"6.74""",720x1600 pixels,5000,Li-Po,4GB RAM,"2023, July 24",186 g (6.56 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 150 EUR
Realme C53 (India),Realme,Android 13,"6.74""",1080x2400 pixels,5000,Li-Po,4/6GB RAM,"2023, July 19",186 g (6.56 oz),1080p@30fps,"64GB 6GB RAM, 128GB 4GB RAM",About 110 EUR
Realme GT3,Realme,Android 13,"6.74""",1240x2772 pixels,4600,Li-Po,8-16GB RAM,"2023, February 28",199 g (7.02 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",$ 630.00
Realme Narzo 60 Pro,Realme,Android 13,"6.7""",1080x2412 pixels,5000,Li-Po,8/12GB RAM,"2023, July 06",185 g or 191 g (6.53 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM, 1TB 12GB RAM","₹ 23,999"
Realme Narzo 60,Realme,Android 13,"6.43""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2023, July 06",182 g (6.42 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM","₹ 17,999"
Realme C53,Realme,Android 13,"6.74""",1080x2400 pixels,5000,Li-Po,6GB RAM,"2023, May 31",182 g (6.42 oz),1080p@30fps,128GB 6GB RAM,"€ 179.90 / $ 122.89 / ₹ 10,500"
Realme Narzo N53,Realme,Android 13,"6.74""",1080x2400 pixels,5000,Li-Po,4/6GB RAM,"2023, May 18",182 g (6.42 oz),1080p@30fps,"64GB 4GB RAM, 128GB 6GB RAM",About 100 EUR
Realme 11 Pro+,Realme,Android 13,"6.7""",1080x2412 pixels,5000,Li-Po,8/12GB RAM,"2023, May 10",183 g or 189 g (6.46 oz),"4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","€ 486.30 / $ 319.00 / £ 451.60 / ₹ 27,288"
Realme 11 Pro,Realme,Android 13,"6.7""",1080x2412 pixels,5000,Li-Po,8/12GB RAM,"2023, May 10",183 g or 189 g (6.46 oz),"4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","€ 329.90 / $ 272.89 / ₹ 23,698"
Realme 11,Realme,Android 13,"6.43""",1080x2400 pixels,5000,Li-Po,8/12GB RAM,"2023, May 10",182 g (6.42 oz),1080p@30fps,"128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 240 EUR
