phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Sony Xperia 1 V,Sony,Android 13,"6.5""",1644x3840 pixels,5000,Li-Po,12GB RAM,"2023, May 11",187 g (6.60 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","256GB 12GB RAM, 512GB 12GB RAM","$ 1,079.00 / € 1,378.68 / £ 1,098.99"
Sony Xperia 10 V,Sony,Android 13,"6.1""",1080x2520 pixels,5000,Li-Po,6/8GB RAM,"2023, May 11",159 g (5.61 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",$ 378.00 / € 412.55 / £ 349.00
Sony Xperia 5 IV,Sony,Android 12,"6.1""",1080x2520 pixels,5000,Li-Po,8GB RAM,"2022, September 01",172 g (6.07 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","128GB 8GB RAM, 256GB 8GB RAM",$ 704.99 / £ 743.00
Sony Xperia 1 IV,Sony,Android 12,"6.5""",1644x3840 pixels,5000,Li-Po,12GB RAM,"2022, May 11",185 g (6.53 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","256GB 12GB RAM, 512GB 12GB RAM",$ 889.99 / € 949.99 / £ 950.00
Sony Xperia 10 IV,Sony,Android 12,"6.0""",1080x2520 pixels,5000,Li-Po,6GB RAM,"2022, May 11",161 g (5.68 oz),1080p@30fps,128GB 6GB RAM,$ 329.99 / € 288.20 / £ 349.00
Sony Xperia Pro-I,Sony,Android 11,"6.5""",1644x3840 pixels,4500,Li-Po,12GB RAM,"2021, October 26",211 g (7.44 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",512GB 12GB RAM,"$ 998.00 / € 1,098.90 / £ 897.00"
Sony Xperia 10 III Lite,Sony,Android 11,"6.0""",1080x2520 pixels,4500,Li-Po,6GB RAM,"2021, August 20",169 g (5.96 oz),"4K@30fps, 1080p@30fps",64GB 6GB RAM,About 370 EUR
Sony Xperia 1 III,Sony,Android 11,"6.5""",1644x3840 pixels,4500,Li-Po,12GB RAM,"2021, April 14",186 g / 187.1 g (mmWave) (6.56 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","256GB 12GB RAM, 512GB 12GB RAM",$ 495.00 / € 764.00 / £ 758.16
Sony Xperia 5 III,Sony,Android 11,"6.1""",1080x2520 pixels,4500,Li-Po,8GB RAM,"2021, April 14",168 g (5.93 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","128GB 8GB RAM, 256GB 8GB RAM",$ 589.99 / € 471.50 / £ 570.00
Sony Xperia 10 III,Sony,Android 11,"6.0""",1080x2520 pixels,4500,Li-Po,6GB RAM,"2021, April 14",169 g (5.96 oz),"4K@30fps, 1080p@30fps","128GB 6GB RAM, 256GB 6GB RAM",$ 746.00 / € 339.99 / £ 430.00
Sony Xperia Pro,Sony,Android 10,"6.5""",1644x3840 pixels,4000,Li-Po,12GB RAM,"2020, February 24",225.1 g (7.94 oz),"4K@24/25/30/60fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",512GB 12GB RAM,About 2000 EUR
Sony Xperia 5 II,Sony,Android 10,"6.1""",1080x2520 pixels,4000,Li-Ion,8GB RAM,"2020, September 17",163 g (5.75 oz),"4K@24/30/60/120fps HDR, 1080p, 5-axis gyro-EIS, OIS","128GB 8GB RAM, 256GB 8GB RAM",About 650 EUR
Sony Xperia 1 II,Sony,Android 10,"6.5""",1644x3840 pixels,4000,Li-Po,8/12GB RAM,"2020, February 24",181.4 g (6.38 oz),"4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS","256GB 8GB RAM, 256GB 12GB RAM",About 700 EUR
Sony Xperia 10 II,Sony,Android 10,"6.0""",1080x2520 pixels,3600,Li-Po,4GB RAM,"2020, February 24",151 g (5.33 oz),"4K@30fps, 1080p@30fps","64GB 4GB RAM, 128GB 4GB RAM",About 700 EUR
Sony Xperia L4,Sony,Android 9.0,"6.2""",720x1680 pixels,3580,Li-Ion,3GB RAM,"2020, February 20",178 g (6.28 oz),1080p@30fps,64GB 3GB RAM,About 200 EUR
Sony Xperia 5,Sony,Android 9.0,"6.1""",1080x2520 pixels,3140,Li-Ion,6GB RAM,"2019, September 05",164 g (5.78 oz),"4K@24/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS)",128GB 6GB RAM,About 500 EUR
Sony Xperia 1,Sony,Android 9.0,"6.5""",1644x3840 pixels,3330,Li-Ion,6GB RAM,"2019, February 25",178 g (6.28 oz),"4K@24/25/30fps HDR, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS), 1080p@960fps","64GB 6GB RAM, 128GB 6GB RAM",About 500 EUR
Sony Xperia 10 Plus,Sony,Android 9.0,"6.5""",1080x2520 pixels,3000,Li-Ion,4/6GB RAM,"2019, February 25",180 g (6.35 oz),"4K@30fps, 1080p@30fps","64GB 4GB RAM, 64GB 6GB RAM",About 560 EUR
Sony Xperia 10,Sony,Android 9.0,"6.0""",1080x2520 pixels,2870,Li-Ion,3/4GB RAM,"2019, February 25",162 g (5.71 oz),"4K@30fps, 1080p@30fps","64GB 3GB RAM, 64GB 4GB RAM",About 280 EUR
Sony Xperia L3,Sony,Android 8.0,"5.7""",720x1440 pixels,3300,Li-Ion,3GB RAM,"2019, February",156 g (5.50 oz),1080p@30fps,32GB 3GB RAM,About 230 EUR
Sony Xperia XA2 Plus,Sony,Android 8.0,"6.0""",1080x2160 pixels,3580,Li-Ion,4/6GB RAM,"2018, July",205 g (7.23 oz),"4K@30fps, 1080p@30fps, stereo sound rec., HDR","32GB 4GB RAM, 64GB 6GB RAM",About 240 EUR
Sony Xperia XZ3,Sony,Android 9.0,"6.0""",1440x2880 pixels,3300,Li-Ion,4/6GB RAM,"2018, August 30",193 g (6.81 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (5-axis gyro-EIS), 1080p@960fps, HDR","64GB 4GB RAM, 64GB 6GB RAM",About 510 EUR
Sony Xperia XZ2 Premium,Sony,Android 8.0,"5.8""",3840x2160 pixels,3540,Li-Ion,6GB RAM,"2018, April",236 g (8.32 oz),"4K@30fps, 1080p@30/60fps (5-axis gyro-EIS), 1080p@960fps, HDR",64GB 6GB RAM,About 460 EUR
Sony Xperia XZ2,Sony,Android 8.0,"5.7""",1080x2160 pixels,3180,Li-Ion,4/6GB RAM,"2018, February 26",198 g (6.98 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 1080p@960fps","64GB 4GB RAM, 64GB 6GB RAM",About 360 EUR
Sony Xperia XZ2 Compact,Sony,Android 8.0,"5.0""",1080x2160 pixels,2870,Li-Ion,4GB RAM,"2018, February",168 g (5.93 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 1080p@960fps",64GB 4GB RAM,About 430 EUR
Sony Xperia XA2 Ultra,Sony,Android 8.0,"6.0""",1080x1920 pixels,3580,Li-Ion,4GB RAM,"2018, January",221 g (7.80 oz),"4K@30fps, 1080p@30fps, stereo sound rec., HDR","32GB 4GB RAM, 64GB 4GB RAM",About 260 EUR
Sony Xperia XA2,Sony,Android 8.0,"5.2""",1080x1920 pixels,3300,Li-Ion,3GB RAM,"2018, January",171 g (6.03 oz),"4K@30fps, 1080p@30fps, stereo sound rec., HDR",32GB 3GB RAM,About 200 EUR
Sony Xperia L2,Sony,Android 7.1.1,"5.5""",720x1280 pixels,3300,Li-Ion,3GB RAM,"2018, January",178 g (6.28 oz),1080p@30fps,32GB 3GB RAM,About 140 EUR
Sony Xperia R1 (Plus),Sony,Android 7.1,"5.2""",720x1280 pixels,2620,Li-Ion,2/3GB RAM,"2017, October",154 g (5.43 oz),1080p@30fps,"16GB 2GB RAM, 32GB 3GB RAM",About 14000 INR
Sony Xperia XZ1,Sony,Android 8.0,"5.2""",1080x1920 pixels,2700,Li-Ion,4GB RAM,"2017, August 31",155 g (5.47 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps",64GB 4GB RAM,About 260 EUR
Sony Xperia XA1 Plus,Sony,Android 7.0,"5.5""",1080x1920 pixels,3430,Li-Ion,3/4GB RAM,"2017, August",189 g (6.67 oz),"1080p@30fps, HDR","32GB 3GB RAM, 32GB 4GB RAM",About 150 EUR
Sony Xperia XZ1 Compact,Sony,Android 8.0,"4.6""",720x1280 pixels,2700,Li-Ion,4GB RAM,"2017, August",140 g (4.94 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps",32GB 4GB RAM,About 300 EUR
