phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
vivo iQOO Z7 Pro,Vivo,Android 13,"6.78""",1080x2400 pixels,4600,Li-Po,8GB RAM,"2023, August 31",175 g (6.17 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM","₹ 23,999"
vivo Y77t,Vivo,Android 13,"6.64""",1080x2388 pixels,5000,Li-Po,8/12GB RAM,"2023, August 18",190 g (6.70 oz),1080p@30fps,"256GB 8GB RAM, 256GB 12GB RAM",About 170 EUR
vivo Y27,Vivo,Android 13,"6.64""",1080x2388 pixels,5000,Li-Po,6GB RAM,"2023, July 20",190 g (6.70 oz),1080p@30fps,128GB 6GB RAM,About 140 EUR
vivo Y02t,Vivo,Android 13,"6.51""",720x1600 pixels,5000,Li-Po,4GB RAM,"2023, July 12",186 g (6.56 oz),1080p@30fps,64GB 4GB RAM,About 500 EUR
vivo iQOO 11S,Vivo,Android 13,"6.78""",1440x3200 pixels,4700,Li-Po,12/16GB RAM,"2023, July 04",207 g or 210 g (7.30 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","₹ 34,999"
vivo iQOO Neo 7 Pro,Vivo,Android 13,"6.78""",1080x2400 pixels,5000,Li-Po,8/12GB RAM,"2023, July 04",197 g or 202 g (6.95 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 12GB RAM",About 510 EUR
vivo X90s,Vivo,Android 13,"6.78""",1260x2800 pixels,4810,Li-Po,8/12GB RAM,"2023, June 26",197.5 / 201.5 / 202.2 / 203.5 g (6.98 oz),"4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","₹ 15,999"
vivo Y36 (India),Vivo,Android 13,"6.64""",1080x2388 pixels,5000,Li-Po,8GB RAM,"2023, June 22",202 g (7.13 oz),1080p@30fps,128GB 8GB RAM,About 220 EUR
vivo Y36 5G,Vivo,Android 13,"6.64""",1080x2388 pixels,5000,Li-Po,8GB RAM,"2023, May 27",190 g (6.70 oz),1080p@30fps,256GB 8GB RAM,About 200 EUR
vivo Y36,Vivo,Android 13,"6.64""",1080x2388 pixels,5000,Li-Po,4/8GB RAM,"2023, May 27",202 g (7.13 oz),1080p@30fps,"128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 360 EUR
